id	wkt
0	MULTIPOINT ((-180 -90), (-170 -90), (-180 -80), (-170 -80))
1	MULTIPOINT ((-180 -80), (-170 -80), (-180 -70), (-170 -70))
2	MULTIPOINT ((-180 -70), (-170 -70), (-180 -60), (-170 -60))
3	MULTIPOINT ((-180 -60), (-170 -60), (-180 -50), (-170 -50))
4	MULTIPOINT ((-180 -50), (-170 -50), (-180 -40), (-170 -40))
5	MULTIPOINT ((-180 -40), (-170 -40), (-180 -30), (-170 -30))
6	MULTIPOINT ((-180 -30), (-170 -30), (-180 -20), (-170 -20))
7	MULTIPOINT ((-180 -20), (-170 -20), (-180 -10), (-170 -10))
8	MULTIPOINT ((-180 -10), (-170 -10), (-180 0), (-170 0))
9	MULTIPOINT ((-180 0), (-170 0), (-180 10), (-170 10))
10	MULTIPOINT ((-180 10), (-170 10), (-180 20), (-170 20))
11	MULTIPOINT ((-180 20), (-170 20), (-180 30), (-170 30))
12	MULTIPOINT ((-180 30), (-170 30), (-180 40), (-170 40))
13	MULTIPOINT ((-180 40), (-170 40), (-180 50), (-170 50))
14	MULTIPOINT ((-180 50), (-170 50), (-180 60), (-170 60))
15	MULTIPOINT ((-180 60), (-170 60), (-180 70), (-170 70))
16	MULTIPOINT ((-180 70), (-170 70), (-180 80), (-170 80))
17	MULTIPOINT ((-180 80), (-170 80), (-180 90), (-170 90))
18	MULTIPOINT ((-170 -90), (-160 -90), (-170 -80), (-160 -80))
19	MULTIPOINT ((-170 -80), (-160 -80), (-170 -70), (-160 -70))
20	MULTIPOINT ((-170 -70), (-160 -70), (-170 -60), (-160 -60))
21	MULTIPOINT ((-170 -60), (-160 -60), (-170 -50), (-160 -50))
22	MULTIPOINT ((-170 -50), (-160 -50), (-170 -40), (-160 -40))
23	MULTIPOINT ((-170 -40), (-160 -40), (-170 -30), (-160 -30))
24	MULTIPOINT ((-170 -30), (-160 -30), (-170 -20), (-160 -20))
25	MULTIPOINT ((-170 -20), (-160 -20), (-170 -10), (-160 -10))
26	MULTIPOINT ((-170 -10), (-160 -10), (-170 0), (-160 0))
27	MULTIPOINT ((-170 0), (-160 0), (-170 10), (-160 10))
28	MULTIPOINT ((-170 10), (-160 10), (-170 20), (-160 20))
29	MULTIPOINT ((-170 20), (-160 20), (-170 30), (-160 30))
30	MULTIPOINT ((-170 30), (-160 30), (-170 40), (-160 40))
31	MULTIPOINT ((-170 40), (-160 40), (-170 50), (-160 50))
32	MULTIPOINT ((-170 50), (-160 50), (-170 60), (-160 60))
33	MULTIPOINT ((-170 60), (-160 60), (-170 70), (-160 70))
34	MULTIPOINT ((-170 70), (-160 70), (-170 80), (-160 80))
35	MULTIPOINT ((-170 80), (-160 80), (-170 90), (-160 90))
36	MULTIPOINT ((-160 -90), (-150 -90), (-160 -80), (-150 -80))
37	MULTIPOINT ((-160 -80), (-150 -80), (-160 -70), (-150 -70))
38	MULTIPOINT ((-160 -70), (-150 -70), (-160 -60), (-150 -60))
39	MULTIPOINT ((-160 -60), (-150 -60), (-160 -50), (-150 -50))
40	MULTIPOINT ((-160 -50), (-150 -50), (-160 -40), (-150 -40))
41	MULTIPOINT ((-160 -40), (-150 -40), (-160 -30), (-150 -30))
42	MULTIPOINT ((-160 -30), (-150 -30), (-160 -20), (-150 -20))
43	MULTIPOINT ((-160 -20), (-150 -20), (-160 -10), (-150 -10))
44	MULTIPOINT ((-160 -10), (-150 -10), (-160 0), (-150 0))
45	MULTIPOINT ((-160 0), (-150 0), (-160 10), (-150 10))
46	MULTIPOINT ((-160 10), (-150 10), (-160 20), (-150 20))
47	MULTIPOINT ((-160 20), (-150 20), (-160 30), (-150 30))
48	MULTIPOINT ((-160 30), (-150 30), (-160 40), (-150 40))
49	MULTIPOINT ((-160 40), (-150 40), (-160 50), (-150 50))
50	MULTIPOINT ((-160 50), (-150 50), (-160 60), (-150 60))
51	MULTIPOINT ((-160 60), (-150 60), (-160 70), (-150 70))
52	MULTIPOINT ((-160 70), (-150 70), (-160 80), (-150 80))
53	MULTIPOINT ((-160 80), (-150 80), (-160 90), (-150 90))
54	MULTIPOINT ((-150 -90), (-140 -90), (-150 -80), (-140 -80))
55	MULTIPOINT ((-150 -80), (-140 -80), (-150 -70), (-140 -70))
56	MULTIPOINT ((-150 -70), (-140 -70), (-150 -60), (-140 -60))
57	MULTIPOINT ((-150 -60), (-140 -60), (-150 -50), (-140 -50))
58	MULTIPOINT ((-150 -50), (-140 -50), (-150 -40), (-140 -40))
59	MULTIPOINT ((-150 -40), (-140 -40), (-150 -30), (-140 -30))
60	MULTIPOINT ((-150 -30), (-140 -30), (-150 -20), (-140 -20))
61	MULTIPOINT ((-150 -20), (-140 -20), (-150 -10), (-140 -10))
62	MULTIPOINT ((-150 -10), (-140 -10), (-150 0), (-140 0))
63	MULTIPOINT ((-150 0), (-140 0), (-150 10), (-140 10))
64	MULTIPOINT ((-150 10), (-140 10), (-150 20), (-140 20))
65	MULTIPOINT ((-150 20), (-140 20), (-150 30), (-140 30))
66	MULTIPOINT ((-150 30), (-140 30), (-150 40), (-140 40))
67	MULTIPOINT ((-150 40), (-140 40), (-150 50), (-140 50))
68	MULTIPOINT ((-150 50), (-140 50), (-150 60), (-140 60))
69	MULTIPOINT ((-150 60), (-140 60), (-150 70), (-140 70))
70	MULTIPOINT ((-150 70), (-140 70), (-150 80), (-140 80))
71	MULTIPOINT ((-150 80), (-140 80), (-150 90), (-140 90))
72	MULTIPOINT ((-140 -90), (-130 -90), (-140 -80), (-130 -80))
73	MULTIPOINT ((-140 -80), (-130 -80), (-140 -70), (-130 -70))
74	MULTIPOINT ((-140 -70), (-130 -70), (-140 -60), (-130 -60))
75	MULTIPOINT ((-140 -60), (-130 -60), (-140 -50), (-130 -50))
76	MULTIPOINT ((-140 -50), (-130 -50), (-140 -40), (-130 -40))
77	MULTIPOINT ((-140 -40), (-130 -40), (-140 -30), (-130 -30))
78	MULTIPOINT ((-140 -30), (-130 -30), (-140 -20), (-130 -20))
79	MULTIPOINT ((-140 -20), (-130 -20), (-140 -10), (-130 -10))
80	MULTIPOINT ((-140 -10), (-130 -10), (-140 0), (-130 0))
81	MULTIPOINT ((-140 0), (-130 0), (-140 10), (-130 10))
82	MULTIPOINT ((-140 10), (-130 10), (-140 20), (-130 20))
83	MULTIPOINT ((-140 20), (-130 20), (-140 30), (-130 30))
84	MULTIPOINT ((-140 30), (-130 30), (-140 40), (-130 40))
85	MULTIPOINT ((-140 40), (-130 40), (-140 50), (-130 50))
86	MULTIPOINT ((-140 50), (-130 50), (-140 60), (-130 60))
87	MULTIPOINT ((-140 60), (-130 60), (-140 70), (-130 70))
88	MULTIPOINT ((-140 70), (-130 70), (-140 80), (-130 80))
89	MULTIPOINT ((-140 80), (-130 80), (-140 90), (-130 90))
90	MULTIPOINT ((-130 -90), (-120 -90), (-130 -80), (-120 -80))
91	MULTIPOINT ((-130 -80), (-120 -80), (-130 -70), (-120 -70))
92	MULTIPOINT ((-130 -70), (-120 -70), (-130 -60), (-120 -60))
93	MULTIPOINT ((-130 -60), (-120 -60), (-130 -50), (-120 -50))
94	MULTIPOINT ((-130 -50), (-120 -50), (-130 -40), (-120 -40))
95	MULTIPOINT ((-130 -40), (-120 -40), (-130 -30), (-120 -30))
96	MULTIPOINT ((-130 -30), (-120 -30), (-130 -20), (-120 -20))
97	MULTIPOINT ((-130 -20), (-120 -20), (-130 -10), (-120 -10))
98	MULTIPOINT ((-130 -10), (-120 -10), (-130 0), (-120 0))
99	MULTIPOINT ((-130 0), (-120 0), (-130 10), (-120 10))
100	MULTIPOINT ((-130 10), (-120 10), (-130 20), (-120 20))
101	MULTIPOINT ((-130 20), (-120 20), (-130 30), (-120 30))
102	MULTIPOINT ((-130 30), (-120 30), (-130 40), (-120 40))
103	MULTIPOINT ((-130 40), (-120 40), (-130 50), (-120 50))
104	MULTIPOINT ((-130 50), (-120 50), (-130 60), (-120 60))
105	MULTIPOINT ((-130 60), (-120 60), (-130 70), (-120 70))
106	MULTIPOINT ((-130 70), (-120 70), (-130 80), (-120 80))
107	MULTIPOINT ((-130 80), (-120 80), (-130 90), (-120 90))
108	MULTIPOINT ((-120 -90), (-110 -90), (-120 -80), (-110 -80))
109	MULTIPOINT ((-120 -80), (-110 -80), (-120 -70), (-110 -70))
110	MULTIPOINT ((-120 -70), (-110 -70), (-120 -60), (-110 -60))
111	MULTIPOINT ((-120 -60), (-110 -60), (-120 -50), (-110 -50))
112	MULTIPOINT ((-120 -50), (-110 -50), (-120 -40), (-110 -40))
113	MULTIPOINT ((-120 -40), (-110 -40), (-120 -30), (-110 -30))
114	MULTIPOINT ((-120 -30), (-110 -30), (-120 -20), (-110 -20))
115	MULTIPOINT ((-120 -20), (-110 -20), (-120 -10), (-110 -10))
116	MULTIPOINT ((-120 -10), (-110 -10), (-120 0), (-110 0))
117	MULTIPOINT ((-120 0), (-110 0), (-120 10), (-110 10))
118	MULTIPOINT ((-120 10), (-110 10), (-120 20), (-110 20))
119	MULTIPOINT ((-120 20), (-110 20), (-120 30), (-110 30))
120	MULTIPOINT ((-120 30), (-110 30), (-120 40), (-110 40))
121	MULTIPOINT ((-120 40), (-110 40), (-120 50), (-110 50))
122	MULTIPOINT ((-120 50), (-110 50), (-120 60), (-110 60))
123	MULTIPOINT ((-120 60), (-110 60), (-120 70), (-110 70))
124	MULTIPOINT ((-120 70), (-110 70), (-120 80), (-110 80))
125	MULTIPOINT ((-120 80), (-110 80), (-120 90), (-110 90))
126	MULTIPOINT ((-110 -90), (-100 -90), (-110 -80), (-100 -80))
127	MULTIPOINT ((-110 -80), (-100 -80), (-110 -70), (-100 -70))
128	MULTIPOINT ((-110 -70), (-100 -70), (-110 -60), (-100 -60))
129	MULTIPOINT ((-110 -60), (-100 -60), (-110 -50), (-100 -50))
130	MULTIPOINT ((-110 -50), (-100 -50), (-110 -40), (-100 -40))
131	MULTIPOINT ((-110 -40), (-100 -40), (-110 -30), (-100 -30))
132	MULTIPOINT ((-110 -30), (-100 -30), (-110 -20), (-100 -20))
133	MULTIPOINT ((-110 -20), (-100 -20), (-110 -10), (-100 -10))
134	MULTIPOINT ((-110 -10), (-100 -10), (-110 0), (-100 0))
135	MULTIPOINT ((-110 0), (-100 0), (-110 10), (-100 10))
136	MULTIPOINT ((-110 10), (-100 10), (-110 20), (-100 20))
137	MULTIPOINT ((-110 20), (-100 20), (-110 30), (-100 30))
138	MULTIPOINT ((-110 30), (-100 30), (-110 40), (-100 40))
139	MULTIPOINT ((-110 40), (-100 40), (-110 50), (-100 50))
140	MULTIPOINT ((-110 50), (-100 50), (-110 60), (-100 60))
141	MULTIPOINT ((-110 60), (-100 60), (-110 70), (-100 70))
142	MULTIPOINT ((-110 70), (-100 70), (-110 80), (-100 80))
143	MULTIPOINT ((-110 80), (-100 80), (-110 90), (-100 90))
144	MULTIPOINT ((-100 -90), (-90 -90), (-100 -80), (-90 -80))
145	MULTIPOINT ((-100 -80), (-90 -80), (-100 -70), (-90 -70))
146	MULTIPOINT ((-100 -70), (-90 -70), (-100 -60), (-90 -60))
147	MULTIPOINT ((-100 -60), (-90 -60), (-100 -50), (-90 -50))
148	MULTIPOINT ((-100 -50), (-90 -50), (-100 -40), (-90 -40))
149	MULTIPOINT ((-100 -40), (-90 -40), (-100 -30), (-90 -30))
150	MULTIPOINT ((-100 -30), (-90 -30), (-100 -20), (-90 -20))
151	MULTIPOINT ((-100 -20), (-90 -20), (-100 -10), (-90 -10))
152	MULTIPOINT ((-100 -10), (-90 -10), (-100 0), (-90 0))
153	MULTIPOINT ((-100 0), (-90 0), (-100 10), (-90 10))
154	MULTIPOINT ((-100 10), (-90 10), (-100 20), (-90 20))
155	MULTIPOINT ((-100 20), (-90 20), (-100 30), (-90 30))
156	MULTIPOINT ((-100 30), (-90 30), (-100 40), (-90 40))
157	MULTIPOINT ((-100 40), (-90 40), (-100 50), (-90 50))
158	MULTIPOINT ((-100 50), (-90 50), (-100 60), (-90 60))
159	MULTIPOINT ((-100 60), (-90 60), (-100 70), (-90 70))
160	MULTIPOINT ((-100 70), (-90 70), (-100 80), (-90 80))
161	MULTIPOINT ((-100 80), (-90 80), (-100 90), (-90 90))
162	MULTIPOINT ((-90 -90), (-80 -90), (-90 -80), (-80 -80))
163	MULTIPOINT ((-90 -80), (-80 -80), (-90 -70), (-80 -70))
164	MULTIPOINT ((-90 -70), (-80 -70), (-90 -60), (-80 -60))
165	MULTIPOINT ((-90 -60), (-80 -60), (-90 -50), (-80 -50))
166	MULTIPOINT ((-90 -50), (-80 -50), (-90 -40), (-80 -40))
167	MULTIPOINT ((-90 -40), (-80 -40), (-90 -30), (-80 -30))
168	MULTIPOINT ((-90 -30), (-80 -30), (-90 -20), (-80 -20))
169	MULTIPOINT ((-90 -20), (-80 -20), (-90 -10), (-80 -10))
170	MULTIPOINT ((-90 -10), (-80 -10), (-90 0), (-80 0))
171	MULTIPOINT ((-90 0), (-80 0), (-90 10), (-80 10))
172	MULTIPOINT ((-90 10), (-80 10), (-90 20), (-80 20))
173	MULTIPOINT ((-90 20), (-80 20), (-90 30), (-80 30))
174	MULTIPOINT ((-90 30), (-80 30), (-90 40), (-80 40))
175	MULTIPOINT ((-90 40), (-80 40), (-90 50), (-80 50))
176	MULTIPOINT ((-90 50), (-80 50), (-90 60), (-80 60))
177	MULTIPOINT ((-90 60), (-80 60), (-90 70), (-80 70))
178	MULTIPOINT ((-90 70), (-80 70), (-90 80), (-80 80))
179	MULTIPOINT ((-90 80), (-80 80), (-90 90), (-80 90))
180	MULTIPOINT ((-80 -90), (-70 -90), (-80 -80), (-70 -80))
181	MULTIPOINT ((-80 -80), (-70 -80), (-80 -70), (-70 -70))
182	MULTIPOINT ((-80 -70), (-70 -70), (-80 -60), (-70 -60))
183	MULTIPOINT ((-80 -60), (-70 -60), (-80 -50), (-70 -50))
184	MULTIPOINT ((-80 -50), (-70 -50), (-80 -40), (-70 -40))
185	MULTIPOINT ((-80 -40), (-70 -40), (-80 -30), (-70 -30))
186	MULTIPOINT ((-80 -30), (-70 -30), (-80 -20), (-70 -20))
187	MULTIPOINT ((-80 -20), (-70 -20), (-80 -10), (-70 -10))
188	MULTIPOINT ((-80 -10), (-70 -10), (-80 0), (-70 0))
189	MULTIPOINT ((-80 0), (-70 0), (-80 10), (-70 10))
190	MULTIPOINT ((-80 10), (-70 10), (-80 20), (-70 20))
191	MULTIPOINT ((-80 20), (-70 20), (-80 30), (-70 30))
192	MULTIPOINT ((-80 30), (-70 30), (-80 40), (-70 40))
193	MULTIPOINT ((-80 40), (-70 40), (-80 50), (-70 50))
194	MULTIPOINT ((-80 50), (-70 50), (-80 60), (-70 60))
195	MULTIPOINT ((-80 60), (-70 60), (-80 70), (-70 70))
196	MULTIPOINT ((-80 70), (-70 70), (-80 80), (-70 80))
197	MULTIPOINT ((-80 80), (-70 80), (-80 90), (-70 90))
198	MULTIPOINT ((-70 -90), (-60 -90), (-70 -80), (-60 -80))
199	MULTIPOINT ((-70 -80), (-60 -80), (-70 -70), (-60 -70))
200	MULTIPOINT ((-70 -70), (-60 -70), (-70 -60), (-60 -60))
201	MULTIPOINT ((-70 -60), (-60 -60), (-70 -50), (-60 -50))
